run_id,run_question,run_answer,run_prediction,input_ner,input_intent,input_confidence,retrieval_recall_at_k,retrieval_precision_at_k,retrieval_mrr,retrieval_ndcg,llm_factuality,llm_contradiction,llm_relevance,llm_attribution_rate,llm_coverage,input_score,retrieval_score,llm_score,index,rouge_N,rouge_L,bleu,llm_as_a_judge-score
1,The northern English anglian Kingdom in the Humber estuary spoke what dialect of english?,Northumbrian,"The dialect of English spoken in the northern English Anglian Kingdom in the Humber estuary is not specified in the text, but it can be inferred that Old English was spoken there. Specifically, Northumbrian was a dialect of Old English spoken in the Anglian Kingdom of Northumbria, which included the area around the Humber estuary.",1.0,0.908001273870468,0.9632005095481871,0.9585798816568049,0.72,0.3,0.9999999190853416,0.6053868532180786,0.3376286998391151,0.848418116569519,1.0,1.0,0.9570672611395518,0.7446449501855367,0.7582867339253425,0.7819650103245612,0.0357142857142857,0.0357142857142857,0.0058025885318565,0.618
2,The northern English anglian Kingdom in the Humber estuary spoke what dialect of english?,Northumbrian,"The dialect of English spoken in the northern English Anglian Kingdom in the Humber estuary is not specified in the text, but it can be inferred that Old English was spoken there. Specifically, Northumbrian was a dialect of Old English spoken in the Anglian Kingdom of Northumbria, which included the area around the Humber estuary.",1.0,0.908001273870468,0.9632005095481871,0.9585798816568049,0.72,0.3,0.9999999190853416,0.6053868532180786,0.3376286998391151,0.848418116569519,1.0,1.0,0.9570672611395518,0.7446449501855367,0.7582867339253425,0.7819650103245612,0.0357142857142857,0.0357142857142857,0.0058025885318565,0.618
3,The northern English anglian Kingdom in the Humber estuary spoke what dialect of english?,Northumbrian,"The dialect spoken by the northern English Anglian Kingdom in the Humber estuary is known as Northumbrian, which was a dialect of Old English.",1.0,0.908001273870468,0.9632005095481871,0.9585798816568049,0.72,0.3,0.9999999190853416,0.6053868532180786,0.3376286998391151,0.8714035749435425,1.0,1.0,0.9570672611395518,0.7446449501855367,0.7628838256001472,0.7838038469944832,0.0799999999999999,0.0799999999999999,0.0,0.844
4,The northern English anglian Kingdom in the Humber estuary spoke what dialect of english?,Northumbrian,"The dialect spoken in the Humber estuary, specifically in the northern English Anglian Kingdom, is known as Northumbrian. It was a dialect of Old English and one of the sub-categories of Old English devised by modern scholars.",1.0,0.908001273870468,0.9632005095481871,0.9585798816568049,0.72,0.3,0.9999999190853416,0.6053868532180786,0.3376286998391151,0.8673630952835083,0.5,1.0,0.9570672611395518,0.7446449501855367,0.6620757296681404,0.7434806086216805,0.0512820512820512,0.0512820512820512,0.0,0.827
5,The northern English anglian Kingdom in the Humber estuary spoke what dialect of english?,Northumbrian,"The dialect of English spoken in the Humber estuary, specifically in the northern English Anglian Kingdom (Northumbria), is known as Northumbrian.",1.0,0.908001273870468,0.9632005095481871,0.9585798816568049,0.72,0.3,0.9999999190853416,0.6053868532180786,0.3376286998391151,0.8828634023666382,1.0,1.0,0.9570672611395518,0.7446449501855367,0.7651757910847664,0.7847206331883309,0.0909090909090909,0.0909090909090909,0.0,0.8089999999999999
6,The northern English anglian Kingdom in the Humber estuary spoke what dialect of english?,Northumbrian,"The northern English Anglian Kingdom in the Humber estuary spoke Northumbrian, which is a dialect of Old English.",1.0,0.908001273870468,0.9632005095481871,0.9585798816568049,0.72,0.3,0.9999999190853416,0.6053868532180786,0.3376286998391151,0.9079245328903198,1.0,1.0,0.9570672611395518,0.7446449501855367,0.7701880171895027,0.7867255236302253,0.1052631578947368,0.1052631578947368,0.0,0.851
7,The northern English anglian Kingdom in the Humber estuary spoke what dialect of english?,Northumbrian,"The dialect spoken in the northern English Anglian Kingdom in the Humber estuary is Northumbrian, which was a dialect of Old English.",1.0,0.908001273870468,0.9632005095481871,0.9585798816568049,0.72,0.3,0.9999999190853416,0.6053868532180786,0.3376286998391151,0.8789534568786621,1.0,1.0,0.9570672611395518,0.7446449501855367,0.7643938019871712,0.7844078375492928,0.0869565217391304,0.0869565217391304,0.0,0.834
8,The northern English anglian Kingdom in the Humber estuary spoke what dialect of english?,Northumbrian,"Based on the text, it appears that the dialect spoken in the Northern English Anglian Kingdom in the Humber estuary was Northumbrian, which is a sub-category of Old English.",1.0,0.908001273870468,0.9632005095481871,0.9585798816568049,0.72,0.3,0.9999999190853416,0.6053868532180786,0.3376286998391151,0.8648340106010437,1.0,1.0,0.9570672611395518,0.7446449501855367,0.7615699127316475,0.7832782818470834,0.064516129032258,0.064516129032258,0.0,0.792
9,The northern English anglian Kingdom in the Humber estuary spoke what dialect of english?,Northumbrian,"The dialect of English spoken in the northern English Anglian Kingdom in the Humber estuary is known as Northumbrian, which was a dialect of Old English.",1.0,0.908001273870468,0.9632005095481871,0.9585798816568049,0.72,0.3,0.9999999190853416,0.6053868532180786,0.3376286998391151,0.8712413311004639,1.0,1.0,0.9570672611395518,0.7446449501855367,0.7628513768315315,0.7837908674870369,0.074074074074074,0.074074074074074,0.0,0.841
10,The northern English anglian Kingdom in the Humber estuary spoke what dialect of english?,Northumbrian,"The dialect spoken in the Anglian Kingdom in the Humber estuary was Northumbrian, which is a sub-category of Old English.",1.0,0.908001273870468,0.9632005095481871,0.9585798816568049,0.72,0.3,0.9999999190853416,0.6053868532180786,0.3376286998391151,0.8874872922897339,1.0,1.0,0.9570672611395518,0.7446449501855367,0.7661005690693855,0.7850905443821785,0.0909090909090909,0.0909090909090909,0.0,0.761
